Genes,Comparison1_lgc,Comparison1_FDR,Comparison2_lgc,Comparison2_FDR,Comparison3_lgc,Comparison3_FDR
ENSMUSG00000028661,-6.719997186,0.0000125,-0.104749923,0.065044561,1.420248652,0.009350237
ENSMUSG00000078611,-6.714297676,0.000547,-1.70751575,0.063821573,1.349289232,0.071271877
ENSMUSG00000091713,-6.679394365,0.00851,1.94528997,0.00981152,1.405936177,0.07304918
ENSMUSG00000085978,-6.671736824,0.00153,0.679553833,0.051484281,-0.321604677,0.002505264
ENSMUSG00000040533,-6.662450695,4.24E-43,-0.115413028,0.033953232,-0.644826137,0.056452182
ENSMUSG00000032454,-6.65286766,0.000301,-0.248195889,0.004544686,0.429392144,0.046019088
ENSMUSG00000021701,-6.640579572,3.92E-131,1.277274322,0.026976228,0.704079702,0.01532478
ENSMUSG00000011034,-6.627916437,0.00000495,-0.902903857,0.021931189,-0.9363392,0.096077623
ENSMUSG00000083626,-6.623146308,0.0000476,-0.660497913,0.041464191,-1.056865865,0.054665526
ENSMUSG00000098470,-6.587694432,0.000526,1.697296905,0.074872201,0.839015093,0.053770635
ENSMUSG00000093865,-6.469613005,0.0000178,-1.892628792,0.079042457,0.040424311,0.038151296
ENSMUSG00000049133,-6.45017296,0.000327,-0.533410079,0.032356482,0.825920632,0.057531218
ENSMUSG00000025726,-6.436545648,0.000000504,0.47585813,0.062062886,0.793915963,0.079285699
ENSMUSG00000085547,-6.411926981,0.0000288,-0.173856951,0.072937555,-0.976951191,0.048322036
ENSMUSG00000052469,-6.390823308,0.00234,0.944803696,0.073157844,0.764121802,0.098560766
ENSMUSG00000075045,-6.387831944,0.00077,-1.235915727,0.012864188,1.761374902,0.010087426
ENSMUSG00000037855,-6.373551903,6.72E-109,0.465330583,0.047386415,0.710991537,0.09078297
ENSMUSG00000026443,-6.370143824,8.87E-17,1.198026443,0.049397903,-0.329895084,0.021930056
ENSMUSG00000099809,-6.367606922,0.0493,1.252576147,0.094388339,-0.631201011,0.010448605
ENSMUSG00000068744,-6.367470532,4.54E-170,0.812713755,0.035572198,-1.347116647,0.002489732
ENSMUSG00000101059,-6.329248539,0.0498,-0.077151981,0.080785521,0.36047358,0.097675623
ENSMUSG00000070933,-6.321901897,0.0271,-0.772606432,0.031964722,0.65945047,0.013907347
ENSMUSG00000092093,-6.318542732,0.00014,1.840852672,0.026871918,-0.736154281,0.01931996
ENSMUSG00000041845,-6.301591076,5.34E-26,-1.846476186,0.008383598,-0.068365001,0.097730321
ENSMUSG00000039555,-6.280000911,0.0332,-0.671372019,0.054088268,-0.587063073,0.097727719
ENSMUSG00000103981,-6.263093674,0.0689,0.823231357,0.001572125,-0.012051715,0.058234269
ENSMUSG00000110699,-6.246813444,0.0268,0.696650324,0.003871927,-1.149164411,0.053636638
ENSMUSG00000044172,-6.216886506,0.00281,-1.706533061,0.066599187,1.149170197,0.084531112
ENSMUSG00000109494,-6.194178541,0.0792,-1.511540973,0.034169607,-1.239022333,0.040895887
ENSMUSG00000030838,-6.18963053,0.0319,-0.682184857,0.059388581,-1.666117521,0.070730135
ENSMUSG00000099951,-6.16710078,0.087,-0.01247708,0.033548183,-1.700340247,0.092386856
ENSMUSG00000075064,-6.146927849,0.00628,-0.467004334,0.063737012,0.057984674,0.040689412
ENSMUSG00000034239,-6.144565496,0.00172,-0.106758138,0.027159126,1.375611771,0.076191739
ENSMUSG00000101874,-6.134062312,0.00102,-1.389507607,0.092767506,-0.981221629,0.078656109
ENSMUSG00000022385,-6.127850047,5.08E-141,0.766043434,0.095738655,-0.390178263,0.028895326
ENSMUSG00000089999,-6.110643435,0.00000374,0.285265478,0.000878651,0.797700173,0.018215526
ENSMUSG00000062209,-6.109952467,0.0319,0.039191664,0.043985004,-0.538298308,0.087561891
ENSMUSG00000101376,-6.100825207,0.000595,-1.45062261,0.076712222,1.907463177,0.062488083
ENSMUSG00000036872,-6.096902181,0.00116,1.539410805,0.03484664,1.142480992,0.035017965
ENSMUSG00000062372,-6.092226766,0.00077,0.688012562,0.067769866,-0.421712628,0.076133155
ENSMUSG00000072188,-6.091051524,0.0879,1.261286738,0.082898091,1.36602816,0.068190646
ENSMUSG00000020524,-6.074850986,0.0197,-0.475588528,0.038794838,1.713668375,0.061031198
ENSMUSG00000101750,-6.038851203,0.000000834,-0.257115554,0.091278356,-0.118759918,0.017515715
ENSMUSG00000045967,-6.02684465,0.0322,-0.683902403,0.024867694,-1.563465419,0.067306469
ENSMUSG00000096641,-6.021624195,0.00389,-0.447901234,0.088856889,-0.981018119,0.080286386
ENSMUSG00000094941,-6.019638826,0.0546,-0.133177834,0.064985544,-1.72452949,0.036807428
ENSMUSG00000003476,-5.984406545,0.017,1.952007844,0.098873361,0.251319868,0.009293509
ENSMUSG00000106821,-5.983242863,0.04,-1.158367561,0.015880589,0.577682538,0.012477447
ENSMUSG00000002083,-5.973921408,8.35E-291,1.630310613,0.015796713,-1.368630608,0.041194671
ENSMUSG00000078627,-5.965223551,0.011,0.341871224,0.03239449,-1.934001509,0.002655166
ENSMUSG00000017943,-5.928982902,0.0000209,0.091100098,0.077565404,-1.098585328,0.006986225
ENSMUSG00000095300,-5.921755675,0.052,0.33208117,0.067514925,-1.136843647,0.046882909
ENSMUSG00000042414,-5.919365133,0.00175,-1.722933645,0.056442688,-1.849407858,0.077929331
ENSMUSG00000047861,-5.87992696,0.00000124,0.716472499,0.012394041,-1.21411105,0.08072074
ENSMUSG00000074625,-5.869871424,0.0000192,1.924657756,0.005945768,-0.564780672,0.070092544
ENSMUSG00000086691,-5.865724145,0.0142,-0.008654413,0.030014897,0.69282166,0.013220148
ENSMUSG00000031957,-5.836238634,0.0608,-1.784235654,0.043771429,-1.986551613,0.097444638
ENSMUSG00000083917,-5.79474452,0.00000117,-1.63575959,0.062181035,1.532007056,0.093045092
ENSMUSG00000046733,-5.789227291,0.00000654,-0.488963652,0.088855013,0.355396204,0.01814091
ENSMUSG00000108705,-5.781861595,0.00412,1.709615793,0.066341622,-1.537280493,0.038569736
ENSMUSG00000070330,-5.774435348,0.000453,1.165771747,0.019505216,-1.742974842,0.060148822
ENSMUSG00000078889,-5.766522583,0.00611,-1.796453108,0.027867814,-1.060929635,0.023763848
ENSMUSG00000043760,-5.763817713,0.00299,-1.813811528,0.044194792,0.04652514,0.031234752
ENSMUSG00000051811,-5.756127973,6.87E-50,0.713299424,0.032405549,0.916802201,0.064163051
ENSMUSG00000048312,-5.736375417,0.0677,-0.342745007,0.096655383,-0.205592953,0.043040474
ENSMUSG00000106721,-5.7305176,0.0317,1.612538639,0.094659221,-1.654095763,0.080696343
ENSMUSG00000038801,-5.716119399,0.000701,1.333621313,0.027559052,-0.605534961,0.003625841
ENSMUSG00000107418,-5.710572547,0.00345,-0.295170579,0.08339414,1.234666947,0.064530204
ENSMUSG00000083670,-5.691578026,0.000757,0.170089636,0.052116161,-1.112497156,0.089457256
ENSMUSG00000021913,-5.681678853,3.15E-22,-1.215920641,0.019867091,-1.703110056,0.076607927
ENSMUSG00000073198,-5.675979941,0.0953,1.195839551,0.04406347,-1.520942887,0.005632354
ENSMUSG00000099781,-5.672968879,0.0748,1.124790573,0.020898463,1.225671988,0.015253491
ENSMUSG00000040918,-5.641259268,6.96E-138,-1.171706562,0.026951263,-0.998297078,0.051112577
ENSMUSG00000024388,-5.637158228,0.0019,-0.728297817,0.041775268,-1.010254937,0.087987852
ENSMUSG00000024485,-5.636782201,0.000458,1.705329229,0.062963302,-1.442346073,0.072685525
ENSMUSG00000096294,-5.634805053,0.0465,1.659476259,0.00798883,-0.169678788,0.040102843
ENSMUSG00000068699,-5.6278102,0.00106,-0.86383793,0.005157693,1.766691753,0.09991789
ENSMUSG00000045350,-5.605819657,0.00105,-1.388975327,0.036923423,0.655593335,0.009653178
ENSMUSG00000051617,-5.561459254,0.0883,-1.731341094,0.041318478,-1.312993361,0.05315905
ENSMUSG00000090066,-5.556925913,0.000383,1.483509941,0.07844866,1.073052412,0.035766748
ENSMUSG00000091255,-5.550111598,0.071,-0.139404003,0.006852856,-1.54280052,0.013503818
ENSMUSG00000064156,-5.542890189,0.026,1.256519673,0.070944651,0.985734448,0.052302249
ENSMUSG00000030641,-5.526566848,5.43E-151,-1.180704189,0.077851336,-0.76396284,0.096155969
ENSMUSG00000101035,-5.479677948,0.0824,-1.818251669,0.003341317,-1.384933362,0.045655571
ENSMUSG00000046480,-5.464125964,7.22E-34,0.135484929,0.041318005,-1.448722506,0.033198676
ENSMUSG00000091311,-5.429888664,0.00216,-0.932185408,0.013086821,0.664514756,0.035671663
ENSMUSG00000027171,-5.416097184,3.43E-197,-1.959796408,0.035415238,0.554271471,0.025500895
ENSMUSG00000048458,-5.414117499,1.17E-125,-1.785658573,0.074183173,-1.182855069,0.040329961
ENSMUSG00000027022,-5.407602972,0.0353,1.887366454,0.062073626,-0.099727913,0.045859688
ENSMUSG00000080977,-5.384374293,0.0707,0.36431247,0.05313696,-0.042131647,0.09007078
ENSMUSG00000092518,-5.381820858,0.00132,-1.306298387,0.071340037,-1.552976038,0.062772121
ENSMUSG00000109446,-5.375934799,0.0509,-1.011490761,0.051849568,1.74920939,0.019570385
ENSMUSG00000089762,-5.367303308,4.27E-48,-0.619885947,0.043687794,0.247821089,0.067829236
ENSMUSG00000004231,-5.362145899,0.0168,-0.398249111,0.028144438,-0.980845193,0.026532291
ENSMUSG00000038199,-5.360010692,0.000122,1.332836446,0.021273726,-1.932583154,0.007188468
ENSMUSG00000042099,-5.354249523,3.32E-92,1.859544137,0.090330099,0.131269295,0.076284038
ENSMUSG00000037974,-5.348746821,0.0000239,1.256695526,0.056611568,0.024024409,0.035673184
ENSMUSG00000082980,-5.340910942,0.00701,1.516280025,0.057144704,-1.559493692,0.085988329
ENSMUSG00000006587,-5.337464364,1.62E-43,-1.603126742,0.079985644,1.835197489,0.055789979
ENSMUSG00000068452,-5.330921894,0.0331,1.080473232,0.066770047,1.139648345,0.087797577
ENSMUSG00000039070,-5.321321165,0.000146,-0.195234827,0.006835924,1.314805477,0.072761323
ENSMUSG00000052221,-5.25633794,1.95E-17,0.151083154,0.057110566,0.333174256,0.066645722
ENSMUSG00000005952,-5.249219241,0.0132,0.200803699,0.005743742,1.381377842,0.011241225
ENSMUSG00000033219,-5.239315397,0.0419,0.316237615,0.035550279,0.601261865,0.005854794
ENSMUSG00000028008,-5.219148176,5.67E-11,-0.246384497,0.09800365,0.392661946,0.034329572
ENSMUSG00000022510,-5.201936024,0.0158,-1.652800402,0.06676891,0.111685365,0.040631513
ENSMUSG00000037716,-5.189015079,0.0276,-0.840446131,0.042115392,-0.121042893,0.038570718
ENSMUSG00000033227,-5.10941605,3.95E-11,1.40223378,0.080357257,0.211533164,0.085127859
ENSMUSG00000099875,-5.092336206,0.00218,-1.183788358,0.098612649,0.323239285,0.072359649
ENSMUSG00000020609,-5.058679563,0.00636,-1.389075013,0.071541276,-1.039957144,0.012939267
ENSMUSG00000046341,-5.054672102,0.0494,0.843513343,0.082095379,1.748871274,0.055772188
ENSMUSG00000042655,-5.030253628,0.00134,0.863460802,0.082791016,0.703939353,0.031044398
ENSMUSG00000043099,-5.023079738,3.84E-71,-0.247966839,0.08869256,-1.832518036,0.04426405
ENSMUSG00000007783,-5.015098264,3.52E-20,-1.035902074,0.017248532,1.338583065,0.07787622
ENSMUSG00000072825,-4.99587211,1.94E-172,1.361085568,0.033408507,-0.296316623,0.068918599
ENSMUSG00000102566,-4.981128519,0.000000746,-1.461245291,0.071299423,1.648138058,0.076310123
ENSMUSG00000022483,-4.96248917,1.57E-15,-0.197581674,0.01511107,-0.844656638,0.002310533
ENSMUSG00000020062,-4.958586852,0.00154,0.652956004,0.095057496,-1.765924849,0.037725737
ENSMUSG00000106327,-4.951817391,4.67E-09,-0.513591208,0.0764924,-0.001135255,0.01184197
ENSMUSG00000075023,-4.940773603,0.00128,-0.318831266,0.009216964,-1.534832461,0.02986105
ENSMUSG00000083708,-4.92895147,0.098,-1.445616858,0.071857456,-1.616349987,0.029922529
ENSMUSG00000034416,-4.919555196,1.02E-17,1.575523199,0.051753429,0.724183443,0.085721628
ENSMUSG00000098198,-4.912725629,0.000208,-1.808241535,0.016667846,1.173509667,0.046412096
ENSMUSG00000037907,-4.912559838,8.47E-93,1.703768499,0.074985175,-0.430654298,0.061170084
ENSMUSG00000060534,-4.91006895,0.062,1.556594608,0.011404148,1.912335138,0.017618694
ENSMUSG00000036251,-4.909712687,0.00928,-1.038292057,0.070106457,-1.695182318,0.002550686
ENSMUSG00000022494,-4.886570558,0.0954,-1.987878329,0.021238475,-0.903968357,0.039189156
ENSMUSG00000048644,-4.884048088,1.72E-22,-1.037637037,0.07021327,1.592389861,0.043249531
ENSMUSG00000079025,-4.884046549,0.00276,-0.119715839,0.097538992,0.872832793,0.048113126
ENSMUSG00000041046,-4.881072359,0.0000616,1.502514636,0.044158532,0.817005262,0.098454041
ENSMUSG00000078632,-4.862887789,0.002,-1.68709269,0.0631361,-0.124825901,0.065021365
ENSMUSG00000058952,-4.856038156,0.000107,1.24879378,0.032315967,1.458604345,0.087080646
ENSMUSG00000034282,-4.849949806,1.03E-24,-0.52455781,0.032284461,0.842056736,0.069042307
ENSMUSG00000050821,-4.814759735,2.61E-49,1.989519153,0.071208589,-1.155552457,0.023282093
ENSMUSG00000006445,-4.810539855,1.72E-137,-1.142606873,0.074184923,-1.370912678,0.091933609
ENSMUSG00000055602,-4.763481038,0.0000108,-1.055166231,0.068302435,-0.094925931,0.079568838
ENSMUSG00000055632,-4.758205633,3.04E-76,-1.303302426,0.075308002,-0.118037219,0.025613451
ENSMUSG00000047298,-4.738699136,0.0025,-0.363895245,0.056062589,-0.412920389,0.035298343
ENSMUSG00000018428,-4.738557772,8.26E-116,1.312782018,0.003015961,-0.354888139,0.078507878
ENSMUSG00000075122,-4.737560472,2.08E-164,0.554972618,0.047296396,1.590104089,0.087855979
ENSMUSG00000026817,-4.731123429,5.68E-23,0.988025499,0.087860022,0.877403615,0.029444048
ENSMUSG00000043468,-4.721079626,1.23E-13,-1.015239089,0.025612515,-1.175043908,0.009574245
ENSMUSG00000087376,-4.717198474,0.00163,1.002729869,0.003392964,1.030081836,0.064774939
ENSMUSG00000040752,-4.710753888,0.0297,-0.851337468,0.04089794,-0.816669867,0.020076617
ENSMUSG00000054589,-4.705794387,9.80E-71,1.283247064,0.07291222,-1.399262214,0.01726752
ENSMUSG00000039450,-4.676187925,1.26E-71,-1.491199056,0.06701197,1.248730518,6.43E-05
ENSMUSG00000032374,-4.674384289,2.65E-42,-0.153946211,0.070646574,-1.242131309,0.066405004
ENSMUSG00000034818,-4.671532871,2.44E-57,0.768118052,0.008613156,1.450802796,0.082315556
ENSMUSG00000084261,-4.660775797,7.54E-17,-1.372871842,0.086255084,1.584090733,0.065873777
ENSMUSG00000101082,-4.648616662,0.0000168,0.757910154,0.047465222,-1.947709842,0.060797579
ENSMUSG00000028893,-4.641698066,8.34E-170,-1.826437792,0.055327784,1.328697583,0.011860277
ENSMUSG00000007107,-4.64001966,0.0115,0.874602305,0.090449002,1.29561216,0.066258593
ENSMUSG00000106453,-4.627823398,0.00587,-1.43122891,0.038718443,-0.425193525,0.057711532
ENSMUSG00000048188,-4.616894654,0.00685,0.71019057,0.016330127,0.392599006,0.096305678
ENSMUSG00000041773,-4.616677107,1.45E-149,-0.250773514,0.056051696,0.440721947,0.039013626
ENSMUSG00000018012,-4.613716639,1.48E-80,0.251443664,0.09094714,1.821589418,0.049743883
ENSMUSG00000091712,-4.595910697,7.35E-13,-1.788831197,0.002359028,0.638363561,0.024107819
ENSMUSG00000036915,-4.582797118,0.0175,-1.042504213,0.075553933,-0.078895263,0.074222132
ENSMUSG00000035443,-4.570243838,2.89E-102,0.269661805,0.019688824,-1.261569344,0.079081465
ENSMUSG00000027867,-4.557800468,0.0192,0.414796029,0.042701259,-0.571454699,0.058057026
ENSMUSG00000060143,-4.517933206,0.000197,-0.100628629,0.036131123,1.51331863,0.01809672
ENSMUSG00000023000,-4.507767945,2.88E-12,1.639878139,0.031447304,-0.971665732,0.012451638
ENSMUSG00000034437,-4.483808009,0.00173,0.806757602,0.049006209,0.608743134,0.046503724
ENSMUSG00000048096,-4.48359949,0.00127,1.182574634,0.056065093,1.613074403,0.071756076
ENSMUSG00000036995,-4.458441344,6.72E-60,-1.217013078,0.091776305,0.625953856,0.072940892
ENSMUSG00000022375,-4.451596752,0.00821,1.79470634,0.025456225,-1.418861723,0.004182402
ENSMUSG00000052273,-4.433810908,0.000759,1.477147387,0.044331299,0.402649582,0.094504422
ENSMUSG00000047517,-4.41868769,0.000533,-1.199605055,0.061278281,-0.015043795,0.023003693
ENSMUSG00000032911,-4.39634806,0.00569,0.443113252,0.085640878,0.489239032,0.036700241
ENSMUSG00000007379,-4.378807137,2.12E-116,0.87424716,0.065664161,1.058732705,0.037531667
ENSMUSG00000079620,-4.367790518,0.000122,-0.981041426,0.095205252,0.968174669,0.00364437
ENSMUSG00000109564,-4.364554217,0.00083,1.103126105,0.008819581,0.038350067,0.074677125
ENSMUSG00000038295,-4.362547562,7.36E-13,-0.348640426,0.01635984,0.215086541,0.030331547
ENSMUSG00000082791,-4.360237446,0.00555,-0.557445536,0.043622543,1.749848188,0.009205618
ENSMUSG00000057817,-4.356930606,0.00244,-0.890912054,0.01938307,1.476554547,0.00669128
ENSMUSG00000101167,-4.354044677,7.72E-97,-0.713516536,0.095492794,0.862862465,0.038626466
ENSMUSG00000072672,-4.347697804,0.0519,-0.755079218,0.038262702,1.041293521,0.003868418
ENSMUSG00000026840,-4.339790039,0.00113,0.783827679,0.080695483,1.831912719,0.060572129
ENSMUSG00000109489,-4.332902086,1.29E-36,0.831664437,0.093566007,-0.341553962,0.091364984
ENSMUSG00000022589,-4.317255881,0.0317,1.486143915,0.061583192,-1.118664273,0.012138095
ENSMUSG00000050700,-4.315171467,0.0337,0.920855283,0.072856489,-1.341537,0.058771611
ENSMUSG00000082726,-4.312537485,0.00000033,0.9845674,0.014898449,-0.94571807,0.056822757
ENSMUSG00000028970,-4.295894158,5.39E-134,-1.319511178,0.099560439,1.120066979,0.073931581
ENSMUSG00000100863,-4.288823354,1.88E-20,-0.096603061,0.054201319,1.628354428,0.056332902
ENSMUSG00000106627,-4.281847876,0.0123,1.525643005,0.015093647,1.778544259,0.056683563
ENSMUSG00000038011,-4.278561729,3.17E-17,0.347529934,0.057814924,1.621558978,0.064196522
ENSMUSG00000075605,-4.272565226,0.00000789,0.16310178,0.080842167,0.724676458,0.058421664
ENSMUSG00000045659,-4.270924522,3.42E-122,1.189715485,0.013211403,1.495028217,0.045948175
ENSMUSG00000021303,-4.268978807,4.85E-09,-1.993959803,0.006410657,1.292023046,0.094257997
ENSMUSG00000025480,-4.262939552,0.0173,-1.45948642,0.044409803,-0.379167055,0.016114897
ENSMUSG00000109448,-4.255083693,0.0000013,-0.173037204,0.082995138,-1.76594247,0.091623974
ENSMUSG00000025507,-4.230452871,8.99E-106,1.816619615,0.099498427,-1.687543407,0.016892901
ENSMUSG00000066607,-4.228656408,1.06E-18,0.98015039,0.090912049,-0.853619947,0.089844013
ENSMUSG00000028195,-4.227100575,0.0000318,1.300541362,0.058088315,-1.463818135,0.077153499
ENSMUSG00000035896,-4.17098536,0.0000429,0.492119966,0.085918571,1.920015541,0.02043406
ENSMUSG00000081991,-4.165010794,0.0000052,1.82425609,0.077618876,-0.316607016,0.096001537
ENSMUSG00000020086,-4.153602924,3.44E-60,-0.560601318,0.079352089,-0.070956793,0.075904954
ENSMUSG00000026874,-4.13849872,0.000158,1.486872207,0.034105321,1.633783242,0.057470583
ENSMUSG00000055333,-4.125627076,0.00298,-1.98245324,0.018335031,-0.441331106,0.027990358
ENSMUSG00000022098,-4.10934126,2.01E-34,-0.852254423,0.084610822,-0.328187394,0.090319534
ENSMUSG00000042821,-4.104877398,5.89E-24,-0.235959514,0.060911181,-0.102418283,0.024297352
ENSMUSG00000024769,-4.104622641,1.15E-135,-1.907893524,0.005649052,0.784244967,0.08472528
ENSMUSG00000047751,-4.102027513,3.67E-15,1.038770057,0.005721388,-1.891158504,0.021234995
ENSMUSG00000044824,-4.091863579,0.00167,1.912824615,0.018558071,-0.829439558,0.075451069
ENSMUSG00000020080,-4.086474246,0.0055,-0.218351343,0.097809235,-1.495075296,0.002815488
ENSMUSG00000021314,-4.068371329,0.00919,0.665978993,0.08103175,0.771666451,0.023985194
ENSMUSG00000082912,-4.062202745,0.000456,-0.046280191,0.086544883,-1.210462446,0.079159038
ENSMUSG00000078935,-4.059853541,0.0000375,-1.472321161,0.064786071,-0.40605122,0.090779363
ENSMUSG00000105800,-4.036200168,0.0977,-1.522892811,0.065775096,1.585687746,0.021031751
ENSMUSG00000066113,-4.034285443,0.00684,0.99013653,0.011162619,0.971209127,0.081989435
ENSMUSG00000021032,-4.032737321,8.08E-09,0.059251253,0.062561184,-0.69648593,4.41E-05
ENSMUSG00000002799,-4.02961542,6.02E-34,-1.785242028,0.07508608,0.422961612,0.054519893
ENSMUSG00000058966,-4.02432095,0.0077,-0.035296072,0.060503166,-0.329284509,0.014771254
ENSMUSG00000079033,-4.022541921,4.41E-41,1.80600971,0.031514566,1.689434365,0.075640393
ENSMUSG00000046240,-4.019422046,0.00305,-1.747659388,0.018682507,-1.056404488,0.009040311
ENSMUSG00000054446,-4.005501547,0.00479,0.051405091,0.094018994,1.914878711,0.090474267
ENSMUSG00000055748,-4.003113076,2.81E-11,1.218789202,0.034768232,-0.42430828,0.008395309
ENSMUSG00000022996,-4.003037067,5.89E-31,0.066137313,0.090081707,-0.625824655,0.008972337
ENSMUSG00000042349,-4.000971038,3.15E-78,1.09842076,0.060208158,-1.646562439,0.085216025
ENSMUSG00000020326,-3.99023259,1.79E-113,-0.040147398,0.01019312,0.624110234,0.050897949
ENSMUSG00000046449,-3.979693215,3.08E-08,-1.858018175,0.080285114,-1.096961768,0.057886858
ENSMUSG00000003341,-3.972917382,0.000000568,0.577198568,0.029346304,-1.880349617,0.089941642
ENSMUSG00000064299,-3.969831307,0.000000178,0.525756147,0.089951086,-1.829754426,0.096296324
ENSMUSG00000021668,-3.968901859,1.28E-187,1.555271514,0.079789247,1.694466691,0.048119466
ENSMUSG00000032889,-3.968397818,0.0153,0.467138449,0.095041631,0.278704922,0.028599236
ENSMUSG00000000263,-3.941339894,0.00191,-0.186178866,0.004519092,0.24308268,0.039982845
ENSMUSG00000022878,-3.936644736,0.00000366,1.664360699,0.015794108,-0.529905915,0.029654494
ENSMUSG00000020684,-3.933028559,0.0000391,-1.333429061,0.050865922,1.811900332,0.096781658
ENSMUSG00000026649,-3.932577304,2.59E-52,-1.379442593,0.042005741,1.870526674,0.013823681
ENSMUSG00000052180,-3.913898309,0.00125,0.485592957,0.042286403,-0.43488803,0.024111162
ENSMUSG00000020908,-3.900374092,0.0000115,-0.835708204,0.018212959,0.463970785,0.050884878
ENSMUSG00000012017,-3.896548111,2.21E-18,-1.944074448,0.070936673,-1.600480046,0.092279213
ENSMUSG00000082127,-3.894859768,0.00296,1.779997267,0.062295152,-0.187745917,0.08522696
ENSMUSG00000090634,-3.89315255,0.0237,1.651472919,0.069962792,-0.980695,0.051567641
ENSMUSG00000042734,-3.8908679,0.000232,-0.389774503,0.001380228,1.713882992,0.084415211
ENSMUSG00000060096,-3.869723328,0.0000189,0.266063908,0.094302157,-1.934668863,0.068827587
ENSMUSG00000107968,-3.865257755,0.0296,1.780799224,0.035651408,-0.24761101,0.00727985
ENSMUSG00000043800,-3.861786367,0.000281,1.275612905,0.038583878,-1.935871561,0.047634716
ENSMUSG00000059854,-3.855644016,0.00124,-1.097415007,0.01067738,-0.297875206,0.096156406
ENSMUSG00000024778,-3.853423526,6.17E-40,1.907881459,0.016950486,-1.453983459,0.009761419
ENSMUSG00000024529,-3.852560158,0.000387,-0.517777685,0.094672121,0.774005219,0.043319357
ENSMUSG00000054901,-3.850636041,1.80E-21,0.758014213,0.046971284,1.754228072,0.063811422
ENSMUSG00000037725,-3.847675836,6.29E-70,-1.24848945,0.045644113,0.770922582,0.013978239
ENSMUSG00000067575,-3.831837283,0.0255,-0.684616023,0.081313857,0.835034811,0.039522981
ENSMUSG00000081214,-3.831837283,0.0255,-0.30966555,0.063896783,1.569187858,0.026801769
ENSMUSG00000083424,-3.831837283,0.0255,1.146799939,0.054644616,1.847227813,0.099496615
ENSMUSG00000094664,-3.831837283,0.0255,-0.183204502,0.028478501,-0.092028893,0.022169082
ENSMUSG00000095526,-3.831837283,0.0255,1.485281947,0.052498405,0.979763555,0.058602865
ENSMUSG00000003809,-3.831407335,3.56E-61,0.628524159,0.047488968,1.092498458,0.082922794
ENSMUSG00000049892,-3.829575347,1.16E-23,1.34748303,0.073515246,-1.788506449,0.011025802
ENSMUSG00000031969,-3.795839241,2.72E-59,0.520223601,0.004964341,0.078591899,0.003322688
ENSMUSG00000000884,-3.789982974,2.67E-76,-1.187992283,0.083495763,0.853204913,0.003932069
ENSMUSG00000022262,-3.786470484,0.0117,1.503292347,0.016431061,1.923036061,0.022731353
ENSMUSG00000040140,-3.781645637,0.00319,0.386177408,0.092087536,-0.030770031,0.079942663
ENSMUSG00000078907,-3.773435152,0.00252,-0.04843264,0.047402561,0.917778103,0.034209552
ENSMUSG00000030609,-3.768105545,1.71E-120,0.62382264,0.055171275,1.553041595,0.047918042
ENSMUSG00000106350,-3.756498902,2.53E-13,-0.28929117,0.003066479,0.949374882,0.089707666
ENSMUSG00000036678,-3.745963398,5.53E-87,0.352947675,0.035090266,0.527200584,0.037749893
ENSMUSG00000082604,-3.739804581,5.04E-17,-1.316447082,0.009166342,-1.260733947,0.04014503
ENSMUSG00000020447,-3.7313431,2.26E-10,-0.951342767,0.096903066,-1.780172192,0.041062853
ENSMUSG00000027577,-3.723600299,0.000448,1.271883184,0.08277962,1.776627686,0.098044243
ENSMUSG00000102918,-3.712644643,3.10E-34,0.432007716,0.046294048,0.10442903,0.065403722
ENSMUSG00000013629,-3.702534453,5.31E-97,-1.520610426,0.05871326,-1.032867763,0.057048363
ENSMUSG00000042417,-3.699371896,0.000842,-1.294258562,0.008747498,-1.33603067,0.024541207
ENSMUSG00000022821,-3.696491469,0.000125,0.330466698,0.082419886,0.162729071,0.065091229
ENSMUSG00000094439,-3.693413806,2.02E-26,-1.811805453,0.036537556,1.681821434,0.089568932
ENSMUSG00000052334,-3.686864666,0.0698,1.275958872,0.064133398,-1.88258877,0.025710542
ENSMUSG00000073802,-3.677398346,3.74E-20,-1.25204856,0.002321662,1.108981925,0.003256302
ENSMUSG00000059864,-3.675599345,0.0000469,-1.313150848,0.059774263,-0.616074829,0.012228226
ENSMUSG00000062762,-3.673712365,1.71E-120,0.08952361,0.006222069,-0.28448584,0.038270256
ENSMUSG00000044083,-3.655105738,4.02E-22,-0.342504246,0.080641612,-1.499902324,0.081852122
ENSMUSG00000054612,-3.649356251,9.40E-33,-1.846856178,0.083246712,-1.819173737,0.050639729
ENSMUSG00000085791,-3.643730048,0.013,-1.859019341,0.039392836,-1.422007657,0.071715403
ENSMUSG00000070337,-3.640550633,8.24E-18,1.706966834,0.058884951,1.899843184,0.027199792
ENSMUSG00000038932,-3.636927633,0.00291,-0.659057214,0.049870735,1.132240317,0.010480514
ENSMUSG00000025515,-3.625429552,0.00428,1.388976526,0.091072202,0.530493108,0.099421529
ENSMUSG00000074903,-3.620333794,0.067,0.593655132,0.017581097,0.385046923,0.01907289
ENSMUSG00000094105,-3.61506004,0.0239,-1.64197675,0.002869443,-0.158038251,0.024764724
ENSMUSG00000033854,-3.610636407,3.78E-40,-1.347292909,0.05306219,-1.1828132,0.00510739
